database,product_code,product_title,lane_group,product_order,domain_order,domain,priority,type,reports,why_capture
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,1,telc.net,P1,direct,domain-overview|organic-positions,Verified nursing-specific exam route and likely strongest exam-intent keyword family.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,2,goethe.de,P1,direct,domain-overview|organic-positions,Verified Pflege-specific exam route and adjacent exam-intent benchmark.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,3,make-it-in-germany.com,P1,route_proxy,domain-overview|organic-positions,Official nursing recruitment and language-support route; strong problem and route phrasing source.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,4,pflege.de,P2,problem_proxy,domain-overview|organic-positions,Likely healthcare and nursing demand language source beyond exam providers.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,5,deutschakademie.de,P2,adjacent_provider,domain-overview|organic-positions,Useful benchmark for German-course SEO patterns and non-brand exam prep phrasing.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,6,speexx.com,P2,adjacent_provider,domain-overview|organic-positions,Corporate/business language training benchmark if B2B healthcare-employer motion matters.
DE,B1,German for Nurses (B1->B2 Pflege Sprint),german_exam_pflege,1,7,berlitz.com,P3,adjacent_provider,domain-overview|organic-positions,Large language-training benchmark; useful only if narrower nursing phrasing stays weak.
DE,B2,Medical French for Nurses,medical_french,2,1,berlitz.com,P1,adjacent_provider,domain-overview|organic-positions,Strong multilingual training benchmark with healthcare-adjacent language positioning potential.
DE,B2,Medical French for Nurses,medical_french,2,2,speexx.com,P1,adjacent_provider,domain-overview|organic-positions,Corporate language benchmark for job-linked language training demand.
DE,B2,Medical French for Nurses,medical_french,2,3,lingoda.com,P1,adjacent_provider,domain-overview|organic-positions,Large online language-course benchmark for non-branded demand and page-type patterns.
DE,B2,Medical French for Nurses,medical_french,2,4,sz.fau.de,P2,problem_proxy,domain-overview|organic-positions,Germany-based medical French course signal; useful proxy for healthcare-specific French demand.
DE,B2,Medical French for Nurses,medical_french,2,5,mhh.de,P2,problem_proxy,domain-overview|organic-positions,Germany-based university language course surface with medicine-oriented French offerings.
DE,B2,Medical French for Nurses,medical_french,2,6,heiskills.uni-heidelberg.de,P2,problem_proxy,domain-overview|organic-positions,Germany-based university language center surface including French-for-medicine style course pages.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,1,haufe-akademie.de,P1,direct,domain-overview|organic-positions,Strong DE training-market proxy for compliance-oriented professional courses.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,2,managerseminare.de,P1,adjacent_provider,domain-overview|organic-positions,Useful benchmark for corporate training phrasing and course discoverability.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,3,bitkom-akademie.de,P1,direct,domain-overview|organic-positions,Likely closest DE-side digital/AI skills training benchmark.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,4,aiactacademy.de,P1,direct,domain-overview|organic-positions,Germany-facing AI Act training provider with explicit certification and in-house training positioning.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,5,aiact-akademie.de,P1,direct,domain-overview|organic-positions,Germany-facing AI Act training platform focused on company compliance and practical implementation.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,6,ist.de,P2,adjacent_provider,domain-overview|organic-positions,Germany-based online training provider with explicit EU AI Act competence course positioning.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,7,anacision.de,P2,adjacent_provider,domain-overview|organic-positions,Germany-facing compact KI-Schulung provider with AI Act framing and business-user positioning.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,8,akademie-heidelberg.de,P2,adjacent_provider,domain-overview|organic-positions,Germany-based seminar provider already offering AI-Act-related compliance training.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,9,buildingai.elementsofai.com,P2,reference_baseline,domain-overview|organic-positions,Free multilingual substitute and category baseline; keep only as a non-DE comparison reference if needed.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,10,tuev-sued.de,P2,adjacent_provider,domain-overview|organic-positions,Good compliance and training benchmark if AI Act / professional certification phrasing appears.
DE,B3,AI Literacy (EU-wide remote),ai_training,3,11,tuev-nord.de,P2,adjacent_provider,domain-overview|organic-positions,Same role as TUV SUD; useful only if SERP confirms real AI/AI-Act training presence.
